date,sex,active,recovered,deceased,total
2021-03-01,Female,30,1197,12,1239
2021-03-01,Male,37,1088,14,1139
2021-03-01,Unknown,0,0,0,0
2021-03-01,Total,67,2285,26,2378
2021-03-02,Female,33,1198,12,1243
2021-03-02,Male,36,1089,14,1139
2021-03-02,Unknown,0,0,0,0
2021-03-02,Total,69,2287,26,2382
2021-03-03,Female,29,1202,12,1243
2021-03-03,Male,33,1094,14,1141
2021-03-03,Unknown,0,0,0,0
2021-03-03,Total,62,2296,26,2384
2021-03-08,Female,34,1206,12,1252
2021-03-08,Male,44,1095,14,1153
2021-03-08,Unknown,0,0,0,0
2021-03-08,Total,78,2301,26,2405
2021-04-19,Female,47,1270,12,1329
2021-04-19,Male,55,1198,14,1267
2021-04-19,Unknown,0,0,0,0
2021-04-19,Total,102,2468,26,2596
2021-05-24,Female,7,1335,12,1354
2021-05-24,Male,17,1282,14,1313
2021-05-24,Unknown,0,0,0,0
2021-05-24,Total,24,2617,26,2667
2021-06-13,Female,6,1349,12,1367
2021-06-13,Male,21,1306,14,1341
2021-06-13,Unknown,0,0,0,0
2021-06-13,Total,27,2655,26,2708
2021-06-29,Female,14,1356,12,1382
2021-06-29,Male,16,1329,14,1359
2021-06-29,Unknown,0,0,0,0
2021-06-29,Total,30,2685,26,2741
2021-07-26,Female,14,1380,12,1406
2021-07-26,Male,40,1399,14,1453
2021-07-26,Unknown,0,4,0,4
2021-07-26,Total,54,2783,26,2863
2021-08-19,Female,24,1404,12,1440
2021-08-19,Male,31,1467,14,1512
2021-08-19,Unknown,0,2,0,2
2021-08-19,Total,55,2873,26,2954
2021-08-20,Female,31,1404,12,1447
2021-08-20,Male,38,1467,14,1519
2021-08-20,Unknown,0,2,0,2
2021-08-20,Total,69,2873,26,2968
2021-08-21,Female,48,1404,12,1464
2021-08-21,Male,45,1467,14,1526
2021-08-21,Unknown,0,2,0,2
2021-08-21,Total,93,2873,26,2992
2021-08-22,Female,58,1404,12,1474
2021-08-22,Male,57,1468,14,1539
2021-08-22,Unknown,1,2,0,3
2021-08-22,Total,116,2874,26,3016
2021-08-23,Female,77,1404,12,1493
2021-08-23,Male,77,1468,14,1559
2021-08-23,Unknown,0,2,0,2
2021-08-23,Total,154,2874,26,3054
2021-08-24,Female,88,1412,12,1512
2021-08-24,Male,94,1473,14,1581
2021-08-24,Unknown,1,2,0,3
2021-08-24,Total,183,2887,26,3096
2021-08-25,Female,125,1412,12,1549
2021-08-25,Male,121,1473,14,1608
2021-08-25,Unknown,0,2,0,2
2021-08-25,Total,246,2887,26,3159
2021-08-26,Female,160,1412,12,1584
2021-08-26,Male,151,1473,14,1638
2021-08-26,Unknown,3,2,0,5
2021-08-26,Total,314,2887,26,3227
2021-08-28,Female,244,1412,12,1668
2021-08-28,Male,218,1473,14,1705
2021-08-28,Unknown,5,2,0,7
2021-08-28,Total,467,2887,26,3380
2021-08-29,Female,282,1412,12,1706
2021-08-29,Male,262,1473,14,1749
2021-08-29,Unknown,7,2,0,9
2021-08-29,Total,551,2887,26,3464
2021-08-30,Female,310,1415,12,1737
2021-08-30,Male,287,1473,14,1774
2021-08-30,Unknown,6,2,0,8
2021-08-30,Total,603,2890,26,3519
2021-08-31,Female,335,1415,12,1762
2021-08-31,Male,310,1474,14,1798
2021-08-31,Unknown,6,3,0,9
2021-08-31,Total,651,2892,26,3569
2021-09-01,Female,375,1418,12,1805
2021-09-01,Male,343,1474,14,1831
2021-09-01,Unknown,6,3,0,9
2021-09-01,Total,724,2895,26,3645
2021-09-02,Female,396,1420,12,1828
2021-09-02,Male,368,1478,14,1860
2021-09-02,Unknown,6,3,0,9
2021-09-02,Total,770,2901,26,3697
2021-09-03,Female,400,1436,12,1848
2021-09-03,Male,352,1509,14,1875
2021-09-03,Unknown,3,3,0,6
2021-09-03,Total,755,2948,26,3729
2021-09-04,Female,398,1446,12,1856
2021-09-04,Male,350,1522,14,1886
2021-09-04,Unknown,3,3,0,6
2021-09-04,Total,751,2971,26,3748
2021-09-05,Female,390,1457,13,1860
2021-09-05,Male,350,1538,14,1902
2021-09-05,Unknown,3,3,0,6
2021-09-05,Total,743,2998,27,3768
2021-09-06,Female,381,1478,13,1872
2021-09-06,Male,346,1555,14,1915
2021-09-06,Unknown,2,3,0,5
2021-09-06,Total,729,3036,27,3792
2021-09-07,Female,377,1492,13,1882
2021-09-07,Male,341,1572,14,1927
2021-09-07,Unknown,2,2,0,4
2021-09-07,Total,720,3066,27,3813
2021-09-08,Female,346,1533,13,1892
2021-09-08,Male,310,1609,14,1933
2021-09-08,Unknown,2,2,0,4
2021-09-08,Total,658,3144,27,3829
2021-09-09,Female,334,1554,13,1901
2021-09-09,Male,289,1639,14,1942
2021-09-09,Unknown,2,2,0,4
2021-09-09,Total,625,3195,27,3847
2021-09-10,Female,327,1570,13,1910
2021-09-10,Male,287,1650,14,1951
2021-09-10,Unknown,3,2,0,5
2021-09-10,Total,617,3222,27,3866
2021-09-11,Female,337,1570,13,1920
2021-09-11,Male,298,1651,14,1963
2021-09-11,Unknown,5,2,0,7
2021-09-11,Total,640,3223,27,3890
2021-09-13,Female,321,1618,13,1952
2021-09-13,Male,290,1686,14,1990
2021-09-13,Unknown,3,4,0,7
2021-09-13,Total,614,3308,27,3949
2021-09-14,Female,316,1632,13,1961
2021-09-14,Male,286,1699,14,1999
2021-09-14,Unknown,2,4,0,6
2021-09-14,Total,604,3335,27,3966
2021-09-17,Female,251,1721,13,1985
2021-09-17,Male,237,1775,14,2026
2021-09-17,Unknown,1,2,0,3
2021-09-17,Total,489,3498,27,4014
2021-09-18,Female,219,1760,13,1992
2021-09-18,Male,200,1828,14,2042
2021-09-18,Unknown,1,3,0,4
2021-09-18,Total,420,3591,27,4038
2021-09-19,Female,203,1788,13,2004
2021-09-19,Male,189,1848,14,2051
2021-09-19,Unknown,2,3,0,5
2021-09-19,Total,394,3639,27,4060
2021-09-21,Female,153,1854,13,2020
2021-09-21,Male,169,1886,14,2069
2021-09-21,Unknown,3,3,0,6
2021-09-21,Total,325,3743,27,4095
2021-09-22,Female,139,1879,13,2031
2021-09-22,Male,160,1909,14,2083
2021-09-22,Unknown,2,3,0,5
2021-09-22,Total,301,3791,27,4119
2021-09-23,Female,135,1893,13,2041
2021-09-23,Male,153,1924,14,2091
2021-09-23,Unknown,1,2,0,3
2021-09-23,Total,289,3819,27,4135
2021-09-24,Female,116,1916,13,2045
2021-09-24,Male,139,1943,14,2096
2021-09-24,Unknown,1,2,0,3
2021-09-24,Total,256,3861,27,4144
2021-09-25,Female,115,1926,13,2054
2021-09-25,Male,133,1957,14,2104
2021-09-25,Unknown,2,2,0,4
2021-09-25,Total,250,3885,27,4162
2021-09-26,Female,104,1944,13,2061
2021-09-26,Male,118,1985,14,2117
2021-09-26,Unknown,3,2,0,5
2021-09-26,Total,225,3931,27,4183
2021-09-27,Female,106,1951,13,2070
2021-09-27,Male,114,1992,14,2120
2021-09-27,Unknown,2,2,0,4
2021-09-27,Total,222,3945,27,4194
2021-09-28,Female,102,1959,13,2074
2021-09-28,Male,112,2000,14,2126
2021-09-28,Unknown,2,2,0,4
2021-09-28,Total,216,3961,27,4204
2021-09-29,Female,126,1961,13,2100
2021-09-29,Male,128,2002,14,2144
2021-09-29,Unknown,2,2,0,4
2021-09-29,Total,256,3965,27,4248
2021-09-30,Female,138,1963,13,2114
2021-09-30,Male,134,2009,14,2157
2021-09-30,Unknown,0,2,0,2
2021-09-30,Total,272,3974,27,4273
2021-10-01,Female,139,1972,13,2124
2021-10-01,Male,136,2015,14,2165
2021-10-01,Unknown,0,2,0,2
2021-10-01,Total,275,3989,27,4291
2021-10-02,Female,126,1996,13,2135
2021-10-02,Male,112,2055,14,2181
2021-10-02,Unknown,1,2,0,3
2021-10-02,Total,239,4053,27,4319
2021-10-03,Female,135,2002,13,2150
2021-10-03,Male,127,2058,14,2199
2021-10-03,Unknown,1,2,0,3
2021-10-03,Total,263,4062,27,4352
2021-10-04,Female,145,2005,13,2163
2021-10-04,Male,141,2061,14,2216
2021-10-04,Unknown,1,2,0,3
2021-10-04,Total,287,4068,27,4382
2021-10-05,Female,155,2006,13,2174
2021-10-05,Male,152,2065,14,2231
2021-10-05,Unknown,1,2,0,3
2021-10-05,Total,308,4073,27,4408
2021-10-06,Female,175,2006,13,2194
2021-10-06,Male,174,2065,14,2253
2021-10-06,Unknown,1,2,0,3
2021-10-06,Total,350,4073,27,4450
2021-10-07,Female,186,2008,13,2207
2021-10-07,Male,189,2067,14,2270
2021-10-07,Unknown,1,2,0,3
2021-10-07,Total,376,4077,27,4480
2021-10-08,Female,207,2008,13,2228
2021-10-08,Male,213,2067,15,2295
2021-10-08,Unknown,2,2,0,4
2021-10-08,Total,422,4077,28,4527
2021-10-09,Female,204,2027,13,2244
2021-10-09,Male,213,2087,15,2315
2021-10-09,Unknown,2,2,0,4
2021-10-09,Total,419,4116,28,4563
2021-10-10,Female,220,2043,13,2276
2021-10-10,Male,234,2095,15,2344
2021-10-10,Unknown,2,2,0,4
2021-10-10,Total,456,4140,28,4624
2021-10-11,Female,226,2055,13,2294
2021-10-11,Male,241,2105,15,2361
2021-10-11,Unknown,2,2,0,4
2021-10-11,Total,469,4162,28,4659
2021-10-12,Female,237,2067,13,2317
2021-10-12,Male,255,2113,15,2383
2021-10-12,Unknown,2,2,0,4
2021-10-12,Total,494,4182,28,4704
2021-10-13,Female,259,2067,13,2339
2021-10-13,Male,286,2115,15,2416
2021-10-13,Unknown,2,2,0,4
2021-10-13,Total,547,4184,28,4759
2021-10-14,Female,293,2067,13,2373
2021-10-14,Male,323,2117,15,2455
2021-10-14,Unknown,1,2,0,3
2021-10-14,Total,617,4186,28,4831
2021-10-15,Female,328,2067,13,2408
2021-10-15,Male,353,2117,15,2485
2021-10-15,Unknown,2,2,0,4
2021-10-15,Total,683,4186,28,4897
2021-10-16,Female,313,2098,13,2424
2021-10-16,Male,350,2146,15,2511
2021-10-16,Unknown,2,2,0,4
2021-10-16,Total,665,4246,28,4939
2021-10-17,Female,307,2132,13,2452
2021-10-17,Male,332,2187,15,2534
2021-10-17,Unknown,3,2,0,5
2021-10-17,Total,642,4321,28,4991
2021-10-18,Female,314,2157,13,2484
2021-10-18,Male,335,2216,15,2566
2021-10-18,Unknown,3,2,0,5
2021-10-18,Total,652,4375,28,5055
2021-10-19,Female,362,2163,13,2538
2021-10-19,Male,371,2224,15,2610
2021-10-19,Unknown,3,2,0,5
2021-10-19,Total,736,4389,28,5153
2021-10-20,Female,388,2165,13,2566
2021-10-20,Male,399,2228,15,2642
2021-10-20,Unknown,3,2,0,5
2021-10-20,Total,790,4395,28,5213
2021-10-21,Female,441,2165,13,2619
2021-10-21,Male,448,2229,15,2692
2021-10-21,Unknown,2,2,0,4
2021-10-21,Total,891,4396,28,5315
2021-10-22,Female,498,2168,13,2679
2021-10-22,Male,519,2232,15,2766
2021-10-22,Unknown,2,2,0,4
2021-10-22,Total,1019,4402,28,5449
2021-10-23,Female,539,2170,13,2722
2021-10-23,Male,577,2235,15,2827
2021-10-23,Unknown,3,2,0,5
2021-10-23,Total,1119,4407,28,5554
2021-10-25,Female,620,2192,13,2825
2021-10-25,Male,633,2271,15,2919
2021-10-25,Unknown,3,2,0,5
2021-10-25,Total,1256,4465,28,5749
2021-10-26,Female,600,2245,13,2858
2021-10-26,Male,629,2315,15,2959
2021-10-26,Unknown,3,2,0,5
2021-10-26,Total,1232,4562,28,5822
2021-10-27,Female,641,2247,13,2901
2021-10-27,Male,660,2318,15,2993
2021-10-27,Unknown,3,2,0,5
2021-10-27,Total,1304,4567,28,5899
2021-10-28,Female,677,2250,13,2940
2021-10-28,Male,714,2322,15,3051
2021-10-28,Unknown,2,2,0,4
2021-10-28,Total,1393,4574,28,5995
2021-10-29,Female,732,2252,13,2997
2021-10-29,Male,780,2326,15,3121
2021-10-29,Unknown,4,2,0,6
2021-10-29,Total,1516,4580,28,6124
2021-10-30,Female,813,2254,13,3080
2021-10-30,Male,853,2329,15,3197
2021-10-30,Unknown,6,2,0,8
2021-10-30,Total,1672,4585,28,6285
2021-10-31,Female,853,2285,13,3151
2021-10-31,Male,894,2360,15,3269
2021-10-31,Unknown,6,2,0,8
2021-10-31,Total,1753,4647,28,6428
2021-11-01,Female,940,2286,13,3239
2021-11-01,Male,970,2362,15,3347
2021-11-01,Unknown,6,2,0,8
2021-11-01,Total,1916,4650,28,6594
2021-11-02,Female,948,2333,13,3294
2021-11-02,Male,1011,2395,15,3421
2021-11-02,Unknown,5,3,0,8
2021-11-02,Total,1964,4731,28,6723
2021-11-03,Female,1003,2339,13,3355
2021-11-03,Male,1054,2400,15,3469
2021-11-03,Unknown,5,3,0,8
2021-11-03,Total,2062,4742,28,6832
2021-11-05,Female,1140,2351,13,3504
2021-11-05,Male,1191,2419,16,3626
2021-11-05,Unknown,5,3,0,8
2021-11-05,Total,2336,4773,29,7138
2021-11-11,Female,1528,2444,14,3986
2021-11-11,Male,1557,2536,19,4112
2021-11-11,Unknown,6,3,0,9
2021-11-11,Total,3091,4983,33,8107
2021-11-15,Female,1808,2521,15,4344
2021-11-15,Male,1835,2652,19,4506
2021-11-15,Unknown,13,3,0,16
2021-11-15,Total,3656,5176,34,8866
2021-11-17,Female,2024,2530,16,4570
2021-11-17,Male,2013,2666,19,4698
2021-11-17,Unknown,14,3,0,17
2021-11-17,Total,4051,5199,35,9285
2021-11-18,Female,2095,2541,16,4652
2021-11-18,Male,2081,2681,19,4781
2021-11-18,Unknown,16,3,0,19
2021-11-18,Total,4192,5225,35,9452
2021-11-20,Female,2215,2610,18,4843
2021-11-20,Male,2188,2750,21,4959
2021-11-20,Unknown,18,3,0,21
2021-11-20,Total,4421,5363,39,9823
2021-11-21,Female,2218,2682,18,4918
2021-11-21,Male,2200,2811,21,5032
2021-11-21,Unknown,19,3,0,22
2021-11-21,Total,4437,5496,39,9972
2021-11-22,Female,2328,2682,18,5028
2021-11-22,Male,2291,2813,22,5126
2021-11-22,Unknown,19,3,0,22
2021-11-22,Total,4638,5498,40,10176
2021-11-23,Female,2421,2691,18,5130
2021-11-23,Male,2384,2831,22,5237
2021-11-23,Unknown,23,3,0,26
2021-11-23,Total,4828,5525,40,10393
2021-11-24,Female,2539,2693,18,5250
2021-11-24,Male,2474,2837,22,5333
2021-11-24,Unknown,23,3,0,26
2021-11-24,Total,5036,5533,40,10609
2021-11-25,Female,2641,2694,19,5354
2021-11-25,Male,2552,2838,22,5412
2021-11-25,Unknown,20,3,0,23
2021-11-25,Total,5213,5535,41,10789
2021-11-26,Female,2723,2698,19,5440
2021-11-26,Male,2631,2848,23,5502
2021-11-26,Unknown,21,3,0,24
2021-11-26,Total,5375,5549,42,10966
2021-11-27,Female,2778,2707,19,5504
2021-11-27,Male,2705,2857,23,5585
2021-11-27,Unknown,22,3,0,25
2021-11-27,Total,5505,5567,42,11114
2021-11-28,Female,2810,2737,19,5566
2021-11-28,Male,2748,2895,24,5667
2021-11-28,Unknown,24,3,0,27
2021-11-28,Total,5582,5635,43,11260
2021-11-29,Female,2897,2742,19,5658
2021-11-29,Male,2838,2900,24,5762
2021-11-29,Unknown,21,3,0,24
2021-11-29,Total,5756,5645,43,11444
2021-11-30,Female,2963,2749,19,5731
2021-11-30,Male,2893,2901,25,5819
2021-11-30,Unknown,22,4,0,26
2021-11-30,Total,5878,5654,44,11576
2021-12-01,Female,3029,2755,19,5803
2021-12-01,Male,2957,2912,25,5894
2021-12-01,Unknown,22,4,0,26
2021-12-01,Total,6008,5671,44,11723
2021-12-02,Female,3092,2767,19,5878
2021-12-02,Male,3032,2933,25,5990
2021-12-02,Unknown,23,4,0,27
2021-12-02,Total,6147,5704,44,11895
2021-12-03,Female,3120,2787,19,5926
2021-12-03,Male,3045,2968,25,6038
2021-12-03,Unknown,24,4,0,28
2021-12-03,Total,6189,5759,44,11992
2021-12-04,Female,3156,2794,19,5969
2021-12-04,Male,3090,2975,25,6090
2021-12-04,Unknown,24,4,0,28
2021-12-04,Total,6270,5773,44,12087
2021-12-05,Female,3182,2819,19,6020
2021-12-05,Male,3112,3010,25,6147
2021-12-05,Unknown,23,5,0,28
2021-12-05,Total,6317,5834,44,12195
2021-12-06,Female,3226,2840,19,6085
2021-12-06,Male,3153,3040,25,6218
2021-12-06,Unknown,23,5,0,28
2021-12-06,Total,6402,5885,44,12331
2021-12-07,Female,3225,2884,19,6128
2021-12-07,Male,3169,3078,25,6272
2021-12-07,Unknown,22,6,0,28
2021-12-07,Total,6416,5968,44,12428
2021-12-08,Female,3254,2906,19,6179
2021-12-08,Male,3187,3097,25,6309
2021-12-08,Unknown,22,6,0,28
2021-12-08,Total,6463,6009,44,12516
2021-12-09,Female,3300,2909,19,6228
2021-12-09,Male,3235,3104,25,6364
2021-12-09,Unknown,23,6,0,29
2021-12-09,Total,6558,6019,44,12621
2021-12-10,Female,3340,2919,19,6278
2021-12-10,Male,3267,3118,25,6410
2021-12-10,Unknown,23,6,0,29
2021-12-10,Total,6630,6043,44,12717
2021-12-11,Female,3356,2935,20,6311
2021-12-11,Male,3282,3133,26,6441
2021-12-11,Unknown,23,6,0,29
2021-12-11,Total,6661,6074,46,12781
2021-12-12,Female,3396,2945,20,6361
2021-12-12,Male,3319,3149,26,6494
2021-12-12,Unknown,23,6,0,29
2021-12-12,Total,6738,6100,46,12884
2021-12-13,Female,3430,2957,20,6407
2021-12-13,Male,3359,3165,27,6551
2021-12-13,Unknown,22,6,0,28
2021-12-13,Total,6811,6128,47,12986
2021-12-14,Female,3452,2970,20,6442
2021-12-14,Male,3390,3181,27,6598
2021-12-14,Unknown,21,6,0,27
2021-12-14,Total,6863,6157,47,13067
2021-12-15,Female,3462,2992,20,6474
2021-12-15,Male,3420,3195,27,6642
2021-12-15,Unknown,21,6,0,27
2021-12-15,Total,6903,6193,47,13143
2021-12-16,Female,1056,5437,21,6514
2021-12-16,Male,1147,5511,27,6686
2021-12-16,Unknown,16,23,0,38
2021-12-16,Total,2219,10971,48,13238
2021-12-17,Female,1014,5526,21,6561
2021-12-17,Male,1080,5617,28,6725
2021-12-17,Unknown,8,23,0,31
2021-12-17,Total,2102,11166,49,13317
2021-12-18,Female,960,5600,21,6581
2021-12-18,Male,1026,5700,28,6754
2021-12-18,Unknown,7,24,0,31
2021-12-18,Total,1993,11324,49,13366
2021-12-18,Female,920,5668,21,6609
2021-12-18,Male,973,5782,28,6783
2021-12-18,Unknown,9,24,0,33
2021-12-18,Total,1902,11474,49,13425
2021-12-19,Female,920,5668,21,6609
2021-12-19,Male,973,5782,28,6783
2021-12-19,Unknown,9,24,0,33
2021-12-19,Total,1902,11474,49,13425
2021-12-19,Female,872,5754,21,6647
2021-12-19,Male,924,5863,28,6815
2021-12-19,Unknown,8,25,0,33
2021-12-19,Total,1804,11642,49,13495
2021-12-20,Female,820,5818,21,6659
2021-12-20,Male,893,5918,28,6839
2021-12-20,Unknown,8,25,0,33
2021-12-20,Total,1721,11761,49,13531
2021-12-21,Female,792,5879,21,6692
2021-12-21,Male,854,5983,28,6865
2021-12-21,Unknown,7,25,0,32
2021-12-21,Total,1653,11887,49,13589
2021-12-22,Female,780,5926,21,6727
2021-12-22,Male,802,6062,28,6892
2021-12-22,Unknown,3,26,0,29
2021-12-22,Total,1585,12014,49,13648
2021-12-23,Female,754,5983,21,6758
2021-12-23,Male,791,6113,28,6932
2021-12-23,Unknown,3,26,0,29
2021-12-23,Total,1548,12122,49,13719
2021-12-25,Female,706,6098,22,6826
2021-12-25,Male,735,6237,28,7000
2021-12-25,Unknown,3,26,0,29
2021-12-25,Total,1444,12361,50,13855
2021-12-26,Female,682,6143,22,6847
2021-12-26,Male,706,6289,28,7023
2021-12-26,Unknown,3,26,0,29
2021-12-26,Total,1391,12458,50,13899
2021-12-27,Female,656,6185,22,6863
2021-12-27,Male,675,6337,28,7040
2021-12-27,Unknown,3,26,0,29
2021-12-27,Total,1334,12548,50,13932
2021-12-28,Female,619,6248,23,6890
2021-12-28,Male,650,6389,28,7067
2021-12-28,Unknown,3,26,0,29
2021-12-28,Total,1272,12663,51,13986
2021-12-29,Female,602,6301,23,6926
2021-12-29,Male,621,6452,28,7101
2021-12-29,Unknown,3,27,0,30
2021-12-29,Total,1226,12780,51,14057
2021-12-30,Female,582,6350,23,6955
2021-12-30,Male,611,6493,28,7132
2021-12-30,Unknown,4,27,0,31
2021-12-30,Total,1197,12870,51,14118
2022-01-01,Female,567,6435,23,7025
2022-01-01,Male,590,6582,28,7200
2022-01-01,Unknown,3,27,0,30
2022-01-01,Total,1160,13044,51,14255
2022-01-02,Female,563,6462,23,7048
2022-01-02,Male,572,6628,28,7228
2022-01-02,Unknown,3,27,0,30
2022-01-02,Total,1138,13117,51,14306
2022-01-03,Female,564,6487,23,7074
2022-01-03,Male,576,6657,28,7261
2022-01-03,Unknown,3,27,0,30
2022-01-03,Total,1143,13171,51,14365
2022-01-04,Female,546,6525,23,7094
2022-01-04,Male,553,6700,28,7281
2022-01-04,Unknown,3,27,0,30
2022-01-04,Total,1102,13252,51,14405
2022-01-05,Female,539,6569,23,7131
2022-01-05,Male,539,6738,28,7305
2022-01-05,Unknown,3,28,0,31
2022-01-05,Total,1081,13335,51,14467
2022-01-06,Female,531,6610,23,7164
2022-01-06,Male,534,6768,28,7330
2022-01-06,Unknown,3,28,0,31
2022-01-06,Total,1068,13406,51,14525
2022-01-08,Female,544,6670,23,7237
2022-01-08,Male,540,6836,28,7404
2022-01-08,Unknown,3,29,0,32
2022-01-08,Total,1087,13535,51,14673
2022-01-09,Female,530,6710,23,7263
2022-01-09,Male,540,6870,28,7438
2022-01-09,Unknown,3,29,0,32
2022-01-09,Total,1073,13609,51,14733
2022-01-10,Female,521,6734,23,7278
2022-01-10,Male,527,6891,28,7446
2022-01-10,Unknown,3,29,0,32
2022-01-10,Total,1051,13654,51,14756
2022-01-11,Female,526,6770,23,7319
2022-01-11,Male,532,6935,29,7496
2022-01-11,Unknown,4,29,0,33
2022-01-11,Total,1062,13734,52,14848
2022-01-12,Female,515,6806,23,7344
2022-01-12,Male,515,6965,29,7509
2022-01-12,Unknown,5,29,0,34
2022-01-12,Total,1035,13800,52,14887
2022-01-13,Female,517,6826,23,7366
2022-01-13,Male,529,6989,29,7547
2022-01-13,Unknown,5,29,0,34
2022-01-13,Total,1051,13844,52,14947
2022-01-14,Female,506,6868,23,7397
2022-01-14,Male,495,7048,29,7572
2022-01-14,Unknown,4,28,0,32
2022-01-14,Total,1005,13944,52,15001
2022-01-15,Female,519,6891,23,7433
2022-01-15,Male,500,7073,29,7602
2022-01-15,Unknown,6,28,0,34
2022-01-15,Total,1025,13992,52,15069
2022-01-16,Female,517,6921,23,7461
2022-01-16,Male,500,7102,29,7631
2022-01-16,Unknown,7,28,0,35
2022-01-16,Total,1024,14051,52,15127
2022-01-17,Female,518,6938,23,7479
2022-01-17,Male,503,7124,29,7656
2022-01-17,Unknown,7,28,0,35
2022-01-17,Total,1028,14090,52,15170
2022-01-18,Female,523,6971,23,7517
2022-01-18,Male,496,7171,29,7696
2022-01-18,Unknown,7,29,0,36
2022-01-18,Total,1026,14171,52,15249
2022-01-19,Female,518,7021,23,7562
2022-01-19,Male,511,7195,29,7735
2022-01-19,Unknown,8,29,0,37
2022-01-19,Total,1037,14245,52,15334
2022-01-20,Female,531,7047,23,7601
2022-01-20,Male,510,7225,29,7764
2022-01-20,Unknown,8,28,0,36
2022-01-20,Total,1049,14300,52,15401
2022-01-21,Female,538,7076,23,7637
2022-01-21,Male,521,7255,29,7805
2022-01-21,Unknown,9,28,0,37
2022-01-21,Total,1068,14359,52,15479
2022-01-22,Female,549,7101,23,7673
2022-01-22,Male,538,7273,29,7840
2022-01-22,Unknown,9,28,0,37
2022-01-22,Total,1096,14402,52,15550
2022-01-23,Female,573,7119,23,7715
2022-01-23,Male,551,7293,29,7873
2022-01-23,Unknown,9,28,0,37
2022-01-23,Total,1133,14440,52,15625
2022-01-24,Female,590,7136,23,7749
2022-01-24,Male,565,7307,29,7901
2022-01-24,Unknown,9,28,0,37
2022-01-24,Total,1164,14471,52,15687
2022-01-25,Female,600,7154,23,7777
2022-01-25,Male,582,7320,29,7931
2022-01-25,Unknown,8,29,0,37
2022-01-25,Total,1190,14503,52,15745
2022-01-26,Female,635,7178,23,7836
2022-01-26,Male,598,7342,29,7969
2022-01-26,Unknown,8,29,0,37
2022-01-26,Total,1241,14549,52,15842
2022-01-27,Female,671,7216,23,7910
2022-01-27,Male,639,7374,29,8042
2022-01-27,Unknown,10,29,0,39
2022-01-27,Total,1320,14619,52,15991
2022-01-28,Female,714,7248,23,7985
2022-01-28,Male,680,7411,29,8120
2022-01-28,Unknown,11,30,0,41
2022-01-28,Total,1405,14689,52,16146
2022-01-29,Female,771,7271,23,8065
2022-01-29,Male,713,7436,29,8178
2022-01-29,Unknown,13,30,0,43
2022-01-29,Total,1497,14737,52,16286
2022-01-30,Female,811,7305,23,8139
2022-01-30,Male,728,7474,30,8232
2022-01-30,Unknown,14,31,0,45
2022-01-30,Total,1553,14810,53,16416
2022-01-31,Female,882,7336,23,8241
2022-01-31,Male,807,7498,30,8335
2022-01-31,Unknown,13,31,0,44
2022-01-31,Total,1702,14865,53,16620
2022-02-01,Female,945,7368,23,8336
2022-02-01,Male,879,7530,30,8439
